Model,InputType,Dice,ASSD,HD95,ModelLabel
OG_baseline,native,0.6566758648766664,inf,inf,0.8x0.8x0.8
OG_baseline,resampled,0.6371701206146312,inf,inf,0.8x0.8x0.8
OG_highres1,native,0.5946025963599142,inf,inf,0.64x0.64x0.64
OG_highres1,resampled,0.5689980293381951,inf,inf,0.64x0.64x0.64
OG_highres2,native,0.5192696590654444,inf,inf,0.53x0.53x0.53
OG_highres2,resampled,0.4881680794928134,inf,inf,0.53x0.53x0.53
OG_lowres1,native,0.6060275944039049,inf,inf,1.06x1.06x1.06
OG_lowres1,resampled,0.5957614754713267,inf,inf,1.06x1.06x1.06
OG_lowres2,native,0.3834623985715929,inf,inf,1.6x1.6x1.6
OG_lowres2,resampled,0.31683033938579397,inf,inf,1.6x1.6x1.6
baseline,native,0.2737896773869054,inf,inf,3.0x0.8x0.8
baseline,resampled,0.27136048281112624,inf,inf,3.0x0.8x0.8
highres0_5,native,0.4361139879587559,inf,inf,2.25x0.7x0.7
highres0_5,resampled,0.432475033927693,inf,inf,2.25x0.7x0.7
highres1,native,0.5073969497280988,inf,inf,1.5x0.6x0.6
highres1,resampled,0.4909248546525201,inf,inf,1.5x0.6x0.6
highres1_5,native,0.36614869245974874,inf,inf,1.25x0.5x0.5
highres1_5,resampled,0.3562954121400495,inf,inf,1.25x0.5x0.5
highres1_5_model_2000_vox,native,0.47340672388865496,inf,inf,1.5x0.6x0.6 (2000 epochs)
highres2,native,0.210642410714254,inf,inf,1.0x0.4x0.4
highres2,resampled,0.20414280358522233,inf,inf,1.0x0.4x0.4
